location,P50,P90,zone,P50_empirical,P90_empirical,P90_gap,P90_gap_pct
Dhading,1619.5647368421053,1547.3395770451532,Central Hills,1615.2,1554.4,7.060422954846899,0.4562943428571573
Rupandehi,1735.5478947368422,1658.3983178089268,Western Terai,1729.2,1666.9,8.501682191073314,0.5126441639367871
Palpa,1653.2878947368422,1572.32361820296,Western Hills,1639.2,1580.4,8.076381797040085,0.5136590014637535
Bara,1797.2857894736842,1733.3750841643364,Madhesh Terai,1791.8,1742.4,9.024915835663705,0.520655680245608
Kavrepalanchok,1579.4663157894738,1513.1245225008636,Central Hills,1575.7,1521.1,7.975477499136332,0.5270866594610875
Nuwakot,1626.048947368421,1555.0840381310015,Central Hills,1622.0,1563.4,8.315961868998556,0.5347596441793079
Kailali,1737.0794736842106,1683.0966293845001,Far-West Terai,1735.6,1692.2,9.103370615499898,0.5408703491271891
Dolakha,1630.326842105263,1560.988613753922,Central Hills,1625.0,1570.6,9.611386246077927,0.6157243019834794
Kanchanpur,1737.4042105263159,1682.7073130957046,Far-West Terai,1731.3,1693.1,10.39268690429526,0.6176170284287683
Doti,1607.91,1558.841638546193,Far-West Hills,1598.9,1568.5,9.658361453806947,0.6195858010833306
Kaski,1600.4336842105265,1521.7714723365439,Western Hills,1596.8,1531.5,9.728527663456134,0.6392896594729071
Sindhupalchok,1518.9005263157894,1454.814118171334,Central Hills,1514.8,1464.2,9.385881828666015,0.6451602106022891
Dailekh,1737.8647368421052,1674.9648794793586,Mid-West Hills,1733.6,1686.2,11.23512052064143,0.6707675282202767
Dadeldhura,1670.703157894737,1614.2180178833792,Far-West Hills,1657.5,1625.3,11.081982116620793,0.6865232573200917
Lamjung,1597.0078947368422,1521.5902357764203,Western Hills,1596.3,1532.1,10.509764223579623,0.6907092314651202
Rautahat,1788.2931578947369,1725.6473158076294,Madhesh Terai,1780.2,1738.0,12.352684192370589,0.7158290155360826
Gulmi,1540.478947368421,1464.1657993605302,Western Hills,1534.8,1474.8,10.634200639469782,0.726297571225488
Darchula,1672.6726315789474,1620.0163314658969,Far-West Hills,1661.5,1631.8,11.783668534103072,0.7273796137252787
Solukhumbu,1636.9242105263158,1569.705917868043,Central Hills,1640.7,1581.4,11.694082131957202,0.7449855414853742
Mahottari,1770.125789473684,1707.7776137242304,Madhesh Terai,1760.1,1720.6,12.822386275769531,0.750822950993435
Sankhuwasabha,1606.008947368421,1547.0716082656486,Eastern Mountain,1605.4,1559.8,12.728391734351362,0.8227409556446182
Sarlahi,1734.5105263157893,1671.0932953526285,Madhesh Terai,1728.5,1685.0,13.906704647371498,0.832191995865614
Dhanusha,1742.5726315789473,1680.402406159059,Madhesh Terai,1731.6,1694.7,14.29759384094109,0.8508434520527429
Bajhang,1491.9284210526316,1449.4891552681718,Far-West Hills,1484.1,1462.2,12.710844731828274,0.8769189259285369
Ramechhap,1613.171052631579,1548.252885300135,Eastern Hills,1600.5,1562.1,13.84711469986496,0.8943703468171249
Rukum_West,1644.1126315789472,1585.0240130697628,Mid-West Hills,1631.8,1599.3,14.275986930237195,0.900679536241755
Manang,1786.2652631578949,1718.1006959486606,High Mountain,1784.0,1733.7,15.599304051339459,0.9079388704121443
Baglung,1598.6942105263158,1517.2862807938436,Western Hills,1590.9,1531.1,13.813719206156293,0.9104227317556024
Parbat,1512.0952631578948,1436.1482983833023,Western Hills,1509.1,1450.2,14.051701616697756,0.9784297090012226
Siraha,1740.3747368421054,1678.0702098857137,Eastern Terai,1732.0,1694.7,16.62979011428638,0.991006813440718
Saptari,1673.2384210526316,1613.2745916762992,Madhesh Terai,1665.6,1629.3,16.02540832370073,0.9933466011541946
Panchthar,1488.7194736842107,1434.9892364706504,Eastern Hills,1483.9,1449.3,14.310763529349515,0.9972732314387788
Rasuwa,1705.5431578947369,1641.4902985500826,Central Hills,1706.7,1657.9,16.40970144991752,0.9996831211498538
Sindhuli,1643.1942105263158,1582.7157983149198,Central Hills,1640.0,1599.0,16.284201685080234,1.0288771807558654
Mugu,1701.4015789473685,1653.5525474769565,High Mountain,1679.5,1670.6,17.047452523043376,1.0309592246738652
Kalikot,1690.628947368421,1635.0741949951278,Mid-West Hills,1677.3,1652.0,16.925805004872245,1.0351704562815072
Mustang,1999.8510526315788,1938.308283940757,High Mountain,1990.2,1958.8,20.49171605924289,1.057195918163305
Myagdi,1470.4794736842105,1399.6213634740548,Western Hills,1464.1,1414.7,15.078636525945285,1.0773368369083773
Bajura,1662.5673684210526,1611.6739490756602,Far-West Hills,1652.2,1629.3,17.62605092433978,1.093648683373508
Ilam,1553.3168421052633,1500.3525357289132,Eastern Hills,1547.2,1516.8,16.4474642710868,1.0962399755665533
Udayapur,1599.465789473684,1538.9756870895312,Eastern Hills,1593.2,1556.6,17.62431291046869,1.145197618020809
Khotang,1522.1805263157894,1460.33493284262,Eastern Hills,1512.5,1477.1,16.765067157379917,1.1480289062691815
Terhathum,1547.3663157894737,1492.252965941464,Eastern Hills,1538.8,1510.0,17.747034058535974,1.1892778545988247
Dolpa,1818.4989473684209,1764.7264911754535,High Mountain,1808.5,1786.0,21.273508824546525,1.2054847553388635
Okhaldhunga,1521.7715789473684,1460.5903982491152,Central Hills,1512.4,1478.4,17.809601750884894,1.2193426556982834
Jhapa,1600.3573684210526,1548.5709437590351,Eastern Terai,1587.1,1567.8,19.229056240964837,1.2417291127965893
Dhankuta,1552.0884210526317,1495.6958551965508,Eastern Hills,1544.2,1514.5,18.804144803449162,1.2572171500052791
Humla,1748.463157894737,1704.935162221712,High Mountain,1741.6,1726.5,21.564837778287938,1.26484796936129
Bhojpur,1565.637894736842,1504.6593270560375,Eastern Hills,1553.5,1524.2,19.54067294396259,1.2986775539546995
Sunsari,1580.136842105263,1521.9418935431222,Eastern Terai,1573.2,1542.1,20.158106456877704,1.3244990851752614
Morang,1633.8768421052632,1580.6967871211216,Eastern Terai,1627.3,1601.8,21.103212878878367,1.3350576183123049
Jumla,1843.5384210526317,1786.0345676448305,High Mountain,1829.9,1811.2,25.165432355169514,1.4090114945733734
