location,zone,month,GHI_monthly,DNI_monthly
Kavrepalanchok,Central Hills,1,117.18947368421053,161.3684210526316
Kavrepalanchok,Central Hills,2,123.07263157894738,141.59368421052633
Kavrepalanchok,Central Hills,3,167.84,175.7526315789474
Kavrepalanchok,Central Hills,4,181.83684210526317,175.31631578947366
Kavrepalanchok,Central Hills,5,179.38052631578947,157.59578947368422
Kavrepalanchok,Central Hills,6,140.1184210526316,102.02736842105263
Kavrepalanchok,Central Hills,7,101.7036842105263,51.36842105263158
Kavrepalanchok,Central Hills,8,108.07421052631578,59.900000000000006
Kavrepalanchok,Central Hills,9,112.91368421052633,82.31473684210526
Kavrepalanchok,Central Hills,10,128.4973684210526,135.65736842105264
Kavrepalanchok,Central Hills,11,113.12157894736842,144.38684210526316
Kavrepalanchok,Central Hills,12,105.71789473684211,146.1878947368421
Khotang,Eastern Hills,1,112.5657894736842,148.4036842105263
Khotang,Eastern Hills,2,117.21894736842104,134.77947368421053
Khotang,Eastern Hills,3,164.7921052631579,177.9763157894737
Khotang,Eastern Hills,4,173.00421052631577,162.99052631578948
Khotang,Eastern Hills,5,164.88631578947368,135.75473684210527
Khotang,Eastern Hills,6,126.82526315789472,85.54473684210525
Khotang,Eastern Hills,7,101.38263157894737,53.53105263157895
Khotang,Eastern Hills,8,108.38052631578948,62.36368421052632
Khotang,Eastern Hills,9,109.57473684210527,83.67210526315789
Khotang,Eastern Hills,10,127.66263157894737,133.52631578947367
Khotang,Eastern Hills,11,111.5478947368421,140.35263157894735
Khotang,Eastern Hills,12,104.33947368421053,142.73263157894738
Lalitpur,Central Hills,1,119.95052631578947,182.23736842105262
Lalitpur,Central Hills,2,128.2242105263158,167.9421052631579
Lalitpur,Central Hills,3,173.97052631578947,204.44105263157894
Lalitpur,Central Hills,4,188.22421052631577,202.2821052631579
Lalitpur,Central Hills,5,183.5536842105263,173.25421052631577
Lalitpur,Central Hills,6,144.1678947368421,111.67526315789473
Lalitpur,Central Hills,7,107.39526315789473,58.997894736842106
Lalitpur,Central Hills,8,115.35789473684211,72.60947368421053
Lalitpur,Central Hills,9,118.41105263157894,97.21368421052631
Lalitpur,Central Hills,10,131.90894736842105,149.65105263157895
Lalitpur,Central Hills,11,117.03263157894736,165.6315789473684
Lalitpur,Central Hills,12,111.48684210526316,179.55736842105264
Lamjung,Western Hills,1,114.8,170.13315789473685
Lamjung,Western Hills,2,122.6236842105263,158.41210526315788
Lamjung,Western Hills,3,171.14684210526315,195.64947368421053
Lamjung,Western Hills,4,186.88631578947368,193.44368421052633
Lamjung,Western Hills,5,180.5,164.38473684210527
Lamjung,Western Hills,6,138.48684210526315,103.39947368421052
Lamjung,Western Hills,7,101.68894736842105,53.68631578947368
Lamjung,Western Hills,8,106.65368421052632,63.23894736842105
Lamjung,Western Hills,9,113.95842105263158,91.32368421052632
Lamjung,Western Hills,10,135.57894736842104,157.61894736842106
Lamjung,Western Hills,11,116.34473684210528,166.0363157894737
Lamjung,Western Hills,12,108.33947368421052,170.41368421052633
Mahottari,Madhesh Terai,1,124.53421052631579,193.4321052631579
Mahottari,Madhesh Terai,2,137.5978947368421,188.44315789473686
Mahottari,Madhesh Terai,3,186.75526315789475,227.0157894736842
Mahottari,Madhesh Terai,4,200.5936842105263,221.51526315789474
Mahottari,Madhesh Terai,5,197.06052631578947,195.11
Mahottari,Madhesh Terai,6,158.25526315789475,134.40947368421052
Mahottari,Madhesh Terai,7,124.67315789473685,86.17736842105262
Mahottari,Madhesh Terai,8,127.75842105263158,96.00684210526315
Mahottari,Madhesh Terai,9,126.21263157894737,114.53263157894736
Mahottari,Madhesh Terai,10,141.7784210526316,170.43736842105264
Mahottari,Madhesh Terai,11,127.63736842105264,186.42631578947368
Mahottari,Madhesh Terai,12,117.26894736842105,188.77315789473684
Makwanpur,Central Hills,1,121.64368421052632,191.71105263157892
Makwanpur,Central Hills,2,132.48368421052632,180.41315789473683
Makwanpur,Central Hills,3,180.17736842105262,215.72894736842107
Makwanpur,Central Hills,4,194.65052631578948,215.07947368421054
Makwanpur,Central Hills,5,192.2042105263158,189.24684210526317
Makwanpur,Central Hills,6,153.1094736842105,127.65894736842105
Makwanpur,Central Hills,7,116.5115789473684,74.54736842105264
Makwanpur,Central Hills,8,122.71368421052631,87.68263157894737
Makwanpur,Central Hills,9,123.28473684210526,108.87157894736842
Makwanpur,Central Hills,10,137.72842105263157,164.71473684210525
Makwanpur,Central Hills,11,122.40894736842105,178.34368421052633
Makwanpur,Central Hills,12,114.08578947368422,186.20473684210526
Manang,High Mountain,1,126.11789473684209,159.41473684210527
Manang,High Mountain,2,140.20947368421054,155.57947368421054
Manang,High Mountain,3,195.82368421052632,196.9557894736842
Manang,High Mountain,4,213.21842105263158,192.06157894736842
Manang,High Mountain,5,208.03052631578947,165.1342105263158
Manang,High Mountain,6,154.24,109.75368421052633
Manang,High Mountain,7,116.55368421052631,63.300000000000004
Manang,High Mountain,8,118.00421052631579,69.80157894736843
Manang,High Mountain,9,126.24894736842106,102.08421052631579
Manang,High Mountain,10,147.9,162.16
Manang,High Mountain,11,127.44789473684209,165.18421052631578
Manang,High Mountain,12,112.47052631578947,148.80263157894737
Morang,Eastern Terai,1,121.81842105263159,181.31578947368422
Morang,Eastern Terai,2,131.86368421052632,173.59526315789472
Morang,Eastern Terai,3,176.86631578947367,208.46105263157895
Morang,Eastern Terai,4,181.23473684210526,185.44
Morang,Eastern Terai,5,169.26631578947368,146.8421052631579
Morang,Eastern Terai,6,131.11947368421053,93.53421052631579
Morang,Eastern Terai,7,112.63842105263159,70.69684210526316
Morang,Eastern Terai,8,119.17157894736843,82.33
Morang,Eastern Terai,9,117.49736842105263,100.43052631578948
Morang,Eastern Terai,10,134.15157894736842,154.39263157894737
Morang,Eastern Terai,11,123.10736842105263,172.04736842105262
Morang,Eastern Terai,12,115.14157894736843,178.45315789473685
Mugu,High Mountain,1,93.67947368421054,97.68894736842105
Mugu,High Mountain,2,118.40526315789472,109.26736842105262
Mugu,High Mountain,3,182.20684210526315,162.54947368421054
Mugu,High Mountain,4,205.61947368421053,161.97
Mugu,High Mountain,5,208.71263157894737,151.5194736842105
Mugu,High Mountain,6,174.1757894736842,123.36947368421052
Mugu,High Mountain,7,131.2378947368421,64.40105263157893
Mugu,High Mountain,8,127.55473684210526,66.35526315789474
Mugu,High Mountain,9,133.15842105263158,99.53684210526316
Mugu,High Mountain,10,138.0742105263158,139.04947368421054
Mugu,High Mountain,11,99.36894736842105,117.35000000000001
