scenario_name,capex_per_mw,tariff,debt_ratio,interest_rate,loan_term_years,project_year,resource_case,ghi_value,dscr_value,status
Scenario B - Grid,65000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.29,OK
Scenario B - Grid,70000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.198,Below covenant
Scenario B - Grid,75000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.118,Below covenant
Scenario B - Grid,80000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.048,Below covenant
Scenario B - Grid,85000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.987,DEFAULT RISK
Scenario B - Grid,60000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.426,OK
Scenario B - Grid,65000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.317,OK
Scenario B - Grid,70000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.223,OK
Scenario B - Grid,75000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.141,Below covenant
Scenario B - Grid,80000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.07,Below covenant
Scenario B - Grid,85000000,5.8,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.007,Below covenant
Scenario B - Grid,60000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.455,OK
Scenario B - Grid,65000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.343,OK
Scenario B - Grid,70000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.247,OK
Scenario B - Grid,75000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.164,Below covenant
Scenario B - Grid,80000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.091,Below covenant
Scenario B - Grid,85000000,5.9,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.027,Below covenant
Scenario B - Grid,60000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.483,OK
Scenario B - Grid,65000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.369,OK
Scenario B - Grid,70000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.271,OK
Scenario B - Grid,75000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.187,Below covenant
Scenario B - Grid,80000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.112,Below covenant
Scenario B - Grid,85000000,6.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.047,Below covenant
