location,zone,GHI_annual,DNI_annual,beam_fraction
Baglung,Western Hills,1598.6942105263158,1725.1442105263159,1.0790958015406653
Saptari,Madhesh Terai,1673.2384210526316,1801.7652631578947,1.076813226667606
Lalitpur,Central Hills,1639.6836842105263,1765.493157894737,1.076727892639113
Jajarkot,Mid-West Hills,1718.8426315789472,1839.48,1.0701852317394722
Morang,Eastern Terai,1633.8768421052632,1747.538947368421,1.0695658952584843
Jhapa,Eastern Terai,1600.3573684210526,1710.4684210526316,1.0688040401502428
Tanahun,Western Hills,1613.5242105263158,1723.4521052631578,1.068129064329927
Dhading,Central Hills,1619.5647368421053,1722.6147368421052,1.0636282067989027
Dolakha,Central Hills,1630.3268421052633,1733.671052631579,1.0633886456735668
Sankhuwasabha,Eastern Mountain,1606.008947368421,1700.8526315789472,1.0590555142086446
Lamjung,Western Hills,1597.007894736842,1687.7405263157896,1.0568141409181315
Nuwakot,Central Hills,1626.048947368421,1718.2447368421053,1.0566992707217657
Ilam,Eastern Hills,1553.3168421052633,1636.5578947368422,1.0535892294316203
Bhojpur,Eastern Hills,1565.637894736842,1645.8578947368421,1.0512379013497777
Sunsari,Eastern Terai,1580.1368421052632,1656.7673684210527,1.0484961329132054
Darchula,Far-West Hills,1672.6726315789474,1752.9257894736843,1.0479789986274723
Pyuthan,Mid-West Hills,1659.1799999999998,1738.625789473684,1.0478825621534036
Rasuwa,Central Hills,1705.5431578947369,1781.9373684210527,1.0447917193843481
Kalikot,Mid-West Hills,1690.628947368421,1763.6094736842106,1.0431676781764494
Ramechhap,Eastern Hills,1613.171052631579,1672.0615789473684,1.0365060643877293
Udayapur,Eastern Hills,1599.4657894736843,1632.782105263158,1.0208296520055216
Rukum_West,Mid-West Hills,1644.1126315789475,1670.1894736842105,1.0158607394678427
Terhathum,Eastern Hills,1547.3663157894737,1571.2710526315789,1.015448660474368
Syangja,Western Hills,1603.6984210526316,1626.0731578947368,1.0139519603863043
Gorkha,Central Hills,1573.0236842105264,1594.471052631579,1.0136344853776418
Sindhuli,Central Hills,1643.1942105263158,1664.7594736842107,1.0131239892519992
Bajura,Far-West Hills,1662.5673684210526,1682.8157894736842,1.0121790078629185
Arghakhanchi,Western Hills,1648.9736842105262,1667.017894736842,1.0109426916263704
Humla,High Mountain,1748.463157894737,1766.332105263158,1.0102198020517266
Solukhumbu,Central Hills,1636.9242105263158,1648.9978947368422,1.0073758358101652
Taplejung,Eastern Hills,1524.8647368421052,1529.4936842105262,1.0030356445765853
Dhankuta,Eastern Hills,1552.0884210526315,1553.3247368421053,1.0007965498438776
Doti,Far-West Hills,1607.9099999999999,1600.3773684210526,0.9953152654197391
Panchthar,Eastern Hills,1488.7194736842107,1480.3036842105262,0.9943469608462516
Rukum_East,Mid-West Hills,1622.5215789473684,1611.13,0.9929790894030767
Rolpa,Mid-West Hills,1593.998947368421,1570.8626315789475,0.985485363194455
Achham,Far-West Hills,1602.66,1561.7726315789473,0.9744878087547871
Parbat,Western Hills,1512.0952631578948,1471.0847368421053,0.972878344827202
Kavrepalanchok,Central Hills,1579.4663157894738,1533.4694736842107,0.9708782380191044
Salyan,Mid-West Hills,1631.6247368421052,1575.0484210526315,0.965325166680806
Dolpa,High Mountain,1818.498947368421,1752.7073684210527,0.9638209419683325
Khotang,Eastern Hills,1522.1805263157894,1461.627894736842,0.960219809324781
Gulmi,Western Hills,1540.4789473684211,1468.5452631578946,0.9533043380220094
Okhaldhunga,Central Hills,1521.7715789473684,1444.258947368421,0.9490642139390171
Sindhupalchok,Central Hills,1518.9005263157894,1439.621052631579,0.9478046966798354
Manang,High Mountain,1786.2652631578947,1690.232105263158,0.9462380196964912
Bajhang,Far-West Hills,1491.9284210526316,1410.3394736842106,0.9453130953086504
Myagdi,Western Hills,1470.4794736842105,1329.7752631578946,0.9043140601114351
Mugu,High Mountain,1701.4015789473683,1403.2631578947369,0.8247689288985584
