location,zone,ghi_mean,ghi_std,ghi_count,P50,P75,P90,P99,P90_P50_ratio,P99_P50_ratio
Makwanpur,Central Hills,1711.002105263158,52.95444169587318,19,1711.002105263158,1675.3108115601394,1643.1145110090486,1587.830073878557,0.9603229043112906,0.9280117593042606
Surkhet,Mid-West Hills,1749.2878947368422,53.66834175221698,19,1749.2878947368422,1713.1154323958478,1680.4850806105,1624.4553318211854,0.9606681013837962,0.9286380685013337
Bhojpur,Eastern Hills,1565.637894736842,47.56518539844348,19,1565.637894736842,1533.5789597782912,1504.6593270560375,1455.0012735000626,0.9610519342398428,0.9293344766317273
Manang,High Mountain,1786.2652631578949,53.17048924277252,19,1786.2652631578949,1750.4283534082663,1718.1006959486606,1662.590705179206,0.9618396166486898,0.9307636102377943
Parsa,Madhesh Terai,1772.4863157894736,52.411099991692396,19,1772.4863157894736,1737.1612343950728,1705.2952856001239,1650.578097208797,0.9620922149915597,0.9312219126913948
Udayapur,Eastern Hills,1599.465789473684,47.184167226328185,19,1599.465789473684,1567.6636607631388,1538.9756870895312,1489.7154165052448,0.9621810589621567,0.9313831069781409
Rasuwa,Central Hills,1705.5431578947369,49.96322881798306,19,1705.5431578947369,1671.8679416714162,1641.4902985500826,1589.3286876641082,0.9624443045910847,0.9318607273626076
Baitadi,Far-West Hills,1678.3347368421053,49.03517721078988,19,1678.3347368421053,1645.285027402033,1615.4716396578726,1564.278914649808,0.9625443626922043,0.9320422680359339
Sunsari,Eastern Terai,1580.136842105263,45.39387563349519,19,1580.136842105263,1549.5413699282872,1521.9418935431222,1474.550687381753,0.9631709437996484,0.9331791070811093
Sindhuli,Central Hills,1643.1942105263158,47.17504852683001,19,1643.1942105263158,1611.3982278192325,1582.7157983149198,1533.465047652909,0.9631946048592608,0.933222036585523
Sankhuwasabha,Eastern Mountain,1606.008947368421,45.97296341869937,19,1606.008947368421,1575.0231700242177,1547.0716082656486,1499.0758344565263,0.9633019858330514,0.9334168635317297
Banke,Mid-West Terai,1813.3984210526316,51.74885047173698,19,1813.3984210526316,1778.519695834681,1747.056394747865,1693.0305948553714,0.9634156368867594,0.9336230666135742
Sarlahi,Madhesh Terai,1734.5105263157893,49.4674188480193,19,1734.5105263157893,1701.1694860122243,1671.0932953526285,1619.4493100752964,0.9634379670800481,0.9336635814572481
Dhankuta,Eastern Hills,1552.0884210526317,43.987960886178584,19,1552.0884210526317,1522.4405354153473,1495.6958551965508,1449.7724240313803,0.9636666538509222,0.9340784998886466
Dailekh,Mid-West Hills,1737.8647368421052,49.06385129699428,19,1737.8647368421052,1704.795701067931,1674.9648794793586,1623.7422187252964,0.9638062410558818,0.9343317602932768
Panchthar,Eastern Hills,1488.7194736842107,41.911261477036106,19,1488.7194736842107,1460.4712834486884,1434.9892364706504,1391.2338794886248,0.9639084205161962,0.9345171498601188
Bardiya,Mid-West Terai,1798.3952631578948,50.466248827907066,19,1798.3952631578948,1764.3810114478854,1733.697532160518,1681.010768384183,0.9640247434350051,0.9347282006472869
Rukum_West,Mid-West Hills,1644.1126315789472,46.09096607580683,19,1644.1126315789472,1613.0473204438533,1585.0240130697628,1536.9050444866205,0.9640604801798537,0.9347930397022931
Saptari,Madhesh Terai,1673.2384210526316,46.773657859853614,19,1673.2384210526316,1641.7129756550903,1613.2745916762992,1564.442892870612,0.9641630095138449,0.9349790640633411
Siraha,Eastern Terai,1740.3747368421054,48.599475004985784,19,1740.3747368421054,1707.6186906887451,1678.0702098857137,1627.3323579805085,0.9642005105926539,0.9350471042422097
